type,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10
Control,Halton,L0P,Casual Dining,No,12,Yes,Yes,10-20,11.23,No
Control,Durham,L1W,Fast Food,Franchise,17,No,No,10-20,18.3,No
Control,York,L3P,Premium Casual,Franchise,1,Yes,No,1-10,16.82,No
Control,Toronto,M5V,Casual Dining,No,11,Yes,Yes,10-20,19.74,No
Control,Durham,L1M,Premium Casual,No,8,Yes,No,10-20,11.4,No
Control,York,L9N,Fast Casual,No,16,Yes,No,1-10,16.65,No
Control,Halton,L0P,Fine Dining,Franchise,12,Yes,No,1-10,18.72,No
Control,Toronto,M8G,Family Style,Franchise,9,Yes,No,1-10,16.86,No
Control,Toronto,M3X,Casual Dining,No,6,Yes,Yes,1-10,16.6,No
Control,York,L4A,Casual Dining,No,13,Yes,No,1-10,19.96,No
Control,Toronto,M6R,Fast Casual,Franchise,12,Yes,No,1-10,15.69,No
Control,Toronto,M7G,Casual Dining,No,8,Yes,No,10-20,18.15,No
Control,Toronto,M8R,Fast Food,Franchise,10,Yes,No,1-10,20.03,No
Control,Toronto,M0V,Fast Food,Franchise,4,Yes,No,10-20,17.36,No
Control,Toronto,M2O,Fast Food,No,11,Yes,Yes,10-20,10.13,No
Control,Durham,L9L,Family Style,No,16,Yes,No,1-10,19.22,No
Control,Toronto,M6D,Casual Dining,No,8,Yes,Yes,>30,12.98,No
Control,Toronto,M4O,Fast Food,Franchise,14,Yes,No,10-20,17.75,No
Control,York,L0J,Fast Food,Franchise,13,Yes,No,10-20,16.87,No
Control,Halton,L9E,Fast Casual,No,17,Yes,Yes,10-20,16.88,No
Control,Peel,L4T,Fast Food,No,14,Yes,Yes,1-10,18.71,No
Control,York,L9N,Family Style,Franchise,11,Yes,No,1-10,18.19,No
Control,Peel,L7K,Casual Dining,Franchise,11,Yes,No,10-20,13.35,No
Control,York,L3Y,Premium Casual,No,27,Yes,No,1-10,17.93,No
Control,Peel,L6V,Casual Dining,Franchise,10,Yes,No,1-10,16.06,No
Control,Toronto,M9S,Casual Dining,Franchise,14,Yes,Yes,1-10,15.31,No
Control,Halton,L7L,Fast Casual,Franchise,18,Yes,No,10-20,18.94,No
Control,Peel,L4X,Premium Casual,No,13,No,Yes,10-20,17.24,No
Control,York,L4A,Premium Casual,No,7,Yes,No,10-20,20.16,No
Control,Toronto,M9G,Family Style,No,13,Yes,No,1-10,15.84,No
Control,Peel,L7C,Casual Dining,No,2,Yes,Yes,1-10,14.66,No
Control,Halton,L0P,Family Style,No,25,Yes,No,10-20,15.5,No
Control,Durham,L1Y,Fine Dining,No,8,Yes,Yes,10-20,17.09,No
Control,Toronto,M3I,Premium Casual,Franchise,7,Yes,Yes,1-10,16.95,No
